BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36666667,1,9,
1,1300,70053,68400,HomeImp,Other,7,0,2,121.8333333,0,14,
1,1500,13500,16700,HomeImp,Other,4,0,0,149.4666667,1,10,
1,1500,,,,,,,,,,,
0,1700,97800,112000,HomeImp,Office,3,0,0,93.33333333,0,14,
1,1700,30548,40320,HomeImp,Other,9,0,0,101.4660019,1,8,37.11361356
1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
1,1800,28502,43034,HomeImp,Other,11,0,0,88.76602988,0,8,36.88489409
1,2000,32700,46740,HomeImp,Other,3,0,2,216.9333333,1,12,
1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,
1,2000,22608,,,,18,,,,,,
1,2000,20627,29800,HomeImp,Office,11,0,1,122.5333333,1,9,
1,2000,45000,55000,HomeImp,Other,3,0,0,86.06666667,2,25,
0,2000,64536,87400,,Mgr,2.5,0,0,147.1333333,0,24,
1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
1,2200,24280,34687,HomeImp,Other,,0,1,300.8666667,0,8,
1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
1,2200,23030,,,,19,,,,,,3.7113123
1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,
0,2300,102370,120953,HomeImp,Office,2,0,0,90.99253347,0,13,31.58850318
